title,website,industry,company_size,headquarters,founded,specialties
BeaconFire Inc.,https://beaconfireinc.com/,IT Services and IT Consulting,201-500 employees,"East Windsor, New Jersey",,"Insurance, Healthcare, Data Science, Application Development, ERP, Business Intelligence, Database Management, Data Services, Professional Services, Staffing Solutions, IT Consulting, Data Visualization, Web Development, E-Commerce, Telecommunication, Big Data, Cloud Technologies – AWS, Azure, GCP, Microsoft Technologies, JAVA Technology , and Banking & Financial Services"
Outlier,https://outlier.ai/,Software Development,"1,001-5,000 employees",,,
Yardi,http://www.yardi.com,Software Development,"5,001-10,000 employees","Santa Barbara, CA",1984,
Skild AI,https://www.skild.ai/,Software Development,11-50 employees,"Pittsburgh, Pennsylvania",2023,
Numerator,https://www.numerator.com,Market Research,"1,001-5,000 employees","Chicago, Illinois",,"Promotional and Creative Tracking and Monitoring, Promotional effectiveness, Shopper Insights, Consumer Insights, Purchase Analytics, Retailer Insights, and Category Management"
CarMax,http://carmax.com,Retail,"10,001+ employees","Richmond, Virginia",1993,Retail and Used Cars
NetApp,https://www.netapp.com/,Software Development,"10,001+ employees","San Jose, California",1992,"network storage, cloud computing, storage efficiency, Information management, data storage, and hybrid cloud"
VIAVI Solutions,http://www.viavisolutions.com,Telecommunications,"1,001-5,000 employees","Chandler, Arizona",,"Software and hardware platforms and instruments  for physical, virtual and hybrid networks and Anti-counterfeiting solutions for currency authentication"
Solventum,https://www.solventum.com/,Medical Equipment Manufacturing,"10,001+ employees",,,
LeadStack Inc.,http://www.leadstackinc.com,Staffing and Recruiting,51-200 employees,"South San Francisco, CA",2016,
Google,https://goo.gle/3DLEokh,Software Development,"10,001+ employees","Mountain View, CA",,"search, ads, mobile, android, online video, apps, machine learning, virtual reality, cloud, hardware, artificial intelligence, youtube, and software"
Google,https://goo.gle/3DLEokh,Software Development,"10,001+ employees","Mountain View, CA",,"search, ads, mobile, android, online video, apps, machine learning, virtual reality, cloud, hardware, artificial intelligence, youtube, and software"
Outlier,https://outlier.ai/,Software Development,"1,001-5,000 employees",,,
T-Mobile,https://bit.ly/3IK6i13,Telecommunications,"10,001+ employees","Bellevue, WA",,"IoT, Retail, 5G for All, Future of 5G, Business Sales, Customer Care, Business Wireless, Consumer Wireless, Technology, Internships & Returnships, DE&I, and Benefits & Perks"
BeaconFire Inc.,https://beaconfireinc.com/,IT Services and IT Consulting,201-500 employees,"East Windsor, New Jersey",,"Insurance, Healthcare, Data Science, Application Development, ERP, Business Intelligence, Database Management, Data Services, Professional Services, Staffing Solutions, IT Consulting, Data Visualization, Web Development, E-Commerce, Telecommunication, Big Data, Cloud Technologies – AWS, Azure, GCP, Microsoft Technologies, JAVA Technology , and Banking & Financial Services"
"OCV, LLC",http://www.myocv.com,Software Development,51-200 employees,"Opelika, Alabama",2007,"IOS, Android, Marketing, Design, and Mobile Apps"
