name,website,industry,company_size,headquarters,founded,specialties
FSP,https://www.fsp.co/,IT Services and IT Consulting,201-500 employees,"Reading, Berkshire",2012,"Business Process & Workflow, Information Management, Custom Software, Managed Service & Support, Digital Workplace Strategy, Leadership Strategy & Development, People Strategy, Business Change, Employee Voice, Feedback, Performance Management, Employee Engagement, Workplace Culture, Digital Transformation, Modern Workplace, Business Productivity Applications, Cloud Applications, Cyber Security, Data & AI, and Collaboration & Communications"
RDT ENGINEERS,http://www.rdtengineers.com,IT Services and IT Consulting,"1,001-5,000 employees","Derio, Vizcaya",2006,"AERONAUTICA, AUTOMOCION, INDUSTRIA, EOLICA, ENERGIA, FERROCARRIL, AEROESPACIAL, FINANZAS Y SEGUROS, TIC, and BIENES DE EQUIPO"
ClearPeaks,http://www.clearpeaks.com,IT Services and IT Consulting,51-200 employees,"Barcelona, Barcelona",2000,"Business Intelligence, IT, BI, Consulting, Consultancy, Training, Oracle, Big Data, Tableau, Microsoft BI, Big Data, Advanced Analytics, Cloud, and Executive Business Intelligence"
Minsait,http://www.minsait.com,IT Services and IT Consulting,"10,001+ employees","Alcobendas, Madrid",2016,"Cloud, Payments, AI, Technology, Business consulting, Digital transformation, Digital business, Financial services, Health sector, Public sector, Utilities, Retail, Consumer sector, Cibersecurity, Telco, and Media"
NTT DATA Europe & Latam,,IT Services and IT Consulting,"10,001+ employees",,,
Capitole,http://www.capitole-consulting.com,IT Services and IT Consulting,"501-1,000 employees","Barcelona, Catalonia",2015,
Lienzzo | Tailor-made technology for businesses,https://lienzzo.com,IT Services and IT Consulting,2-10 employees,"Valencia, Valencian Community",2022,"Desarrollo de aplicaciones, Desarrollo web, Desarrollo de software, Desarrollos a medida, Tecnología para pymes, Inteligencia Artifical, and Automatización de procesos"
Modula,http://www.modula.com,Automation Machinery Manufacturing,"501-1,000 employees","Salvaterra, RE",1987,"Logistica, Supply Chain, Automazione di magazzino, Software di magazzino, software, magazzini, intralogistica, and picking"
ALTEN Spain,http://www.alten.es,IT Services and IT Consulting,"1,001-5,000 employees",,,Consultoría e Ingeniería en Tecnologías Avanzadas and Servicios globales de Tecnologías de la Información
Zennio,http://www.zennio.com,"Appliances, Electrical, and Electronics Manufacturing",201-500 employees,"Toledo, Toledo",2005,
Infoport,http://www.infoport.es,IT Services and IT Consulting,51-200 employees,"Valencia, Valencia",1998,
NEXT DIGITAL,https://www.nextdigital.es,IT Services and IT Consulting,51-200 employees,"Madrid, Community of Madrid",2018,
ALTEN Delivery Centre Spain,https://www.alten.com/country/spain/,IT Services and IT Consulting,201-500 employees,"Madrid, Comunidad de Madrid",2021,
Tipsi,http://www.tipsitpv.com,IT Services and IT Consulting,11-50 employees,"Madrid, Comunidad de Madrid",2013,"Software para restaurantes y bares, TPV online para restaurantes y bares, Sistema de gestión para restaurantes y bares, Gestion integral en la nube, TPV restaurantes, TPV bares, and TPV cafeterias"
knowmad mood,,IT Services and IT Consulting,"1,001-5,000 employees","Las Rozas, Madrid",,
ALTEN Spain,http://www.alten.es,IT Services and IT Consulting,"1,001-5,000 employees",,,Consultoría e Ingeniería en Tecnologías Avanzadas and Servicios globales de Tecnologías de la Información
Volkswagen Group Services Barcelona,http://www.volkswagen-groupservices.com,IT Services and IT Consulting,"501-1,000 employees","Martorell, Barcelona",,"Ingenieria, Automoción, IT, Innovación, and Marketing"
Tigloo,https://www.tigloo.es,IT Services and IT Consulting,201-500 employees,"Mutilva Baja, Navarra",1985,"SERVICIOS GESTIONADOS TIC, PLANES DE CONTINGENCIA, VIRTUALIZACIÓN, ALMACENAMIENTO, SERVICIOS GESTIONADOS, OUTSOURCING, TRANSFORMACION DIGITAL, CIBERSEGURIDAD, CLOUD, CRM, O365, BI, and ERP"
Viaplay Group,https://www.viaplaygroup.com/,Entertainment Providers,"1,001-5,000 employees",,,"Entertainment, Video On Demand, Streaming, IT, and Media"
Plexus Tech,www.plexus.es,IT Services and IT Consulting,"1,001-5,000 employees","Santiago de Compostela, Galicia / Galiza",2000,
Binaia,,E-Learning Providers,11-50 employees,"Logroño, La Rioja",,
Axiomatic_AI,https://www.axiomatic-ai.com/,"Technology, Information and Internet",2-10 employees,"Boston, MA",2024,
"Zucchetti Spain, Soluciones TI",https://www.zucchetti.es,IT Services and IT Consulting,201-500 employees,"Derio, Bizkaia",1990,
knowmad mood,,IT Services and IT Consulting,"1,001-5,000 employees","Las Rozas, Madrid",,
knowmad mood,,IT Services and IT Consulting,"1,001-5,000 employees","Las Rozas, Madrid",,
Plexus Tech,www.plexus.es,IT Services and IT Consulting,"1,001-5,000 employees","Santiago de Compostela, Galicia / Galiza",2000,
EXCELIA,,IT Services and IT Consulting,201-500 employees,"Pozuelo de Alarcón, Madrid",1999,
Rastreator,http://www.rastreator.com/,Insurance,51-200 employees,"Madrid, Madrid",2009,
Panel Sistemas Informaticos,http://www.panel.es,IT Services and IT Consulting,201-500 employees,"Madrid, Community of Madrid",2004,
"WhereTo, a Flight Centre company",https://www.whereto.com/,"Technology, Information and Internet",11-50 employees,"San Francisco, California",,"Travel Management, SaaS, Cloud Computing, Travel, businesstravel, enterprise software, Tech Startup, corporate tools, corporate travel, and business travel"
UST España & Latam,https://www.ust.com/es,IT Services and IT Consulting,"10,001+ employees","Madrid, Madrid",1999,
knowmad mood,,IT Services and IT Consulting,"1,001-5,000 employees","Las Rozas, Madrid",,
Yuki,https://jobs.yukisoftware.com/,Software Development,201-500 employees,"Rotterdam, Zuid Holland",2007,"Online boekhouden, Cloud Computing, Accountancy, Jaarrekening, Administratie, SaaS, Entrepreneurship, Automation, Audit, and Taxes"
NOVOLOS 01,http://www.novolos01.com/,IT Services and IT Consulting,51-200 employees,"Cologne, North Rhine-Westphalia",2015,"IT , Consulting, Software Development, HR & Recruiting Solutions, and Quality Assurance"
Quantion,http://www.quantion.com,IT Services and IT Consulting,51-200 employees,"Barcelona, Catalonia",2015,
"Solera Holdings, LLC.",https://www.solera.com,IT Services and IT Consulting,"5,001-10,000 employees","Westlake, Texas",,
DerbySoft,http://www.derbysoft.com,Information Technology & Services,201-500 employees,"Dallas, Texas",2002,"Connectivity, Hotel Distribution, and Travel Technology"
NTT DATA Europe & Latam,,IT Services and IT Consulting,"10,001+ employees",,,
ALTEN Spain,http://www.alten.es,IT Services and IT Consulting,"1,001-5,000 employees",,,Consultoría e Ingeniería en Tecnologías Avanzadas and Servicios globales de Tecnologías de la Información
Bysidecar,http://www.bysidecar.com,Marketing Services,51-200 employees,"A Coruña, Galicia",2015,"Consultoría Digital, Inbound Marketing, Sales Intelligence, Comunicación Digital y Contenidos, Training, Venta online, Marketing Integral, Integrated Marketing, CRO, Data Marketing, Estrategia Digital, Performance Marketing, and Modelo Digital End to End"
Datadope,http://www.datadope.io,IT Services and IT Consulting,11-50 employees,"San Sebastián de los Reyes, Comunidad de Madrid",2016,"Metrics, Data, Information, Dev-Ops, Method, Agile, Analytics, Big data, Machine Learning, IA, Observabilidad, and Synthetix"
DerbySoft,http://www.derbysoft.com,Information Technology & Services,201-500 employees,"Dallas, Texas",2002,"Connectivity, Hotel Distribution, and Travel Technology"
ClearPeaks,http://www.clearpeaks.com,IT Services and IT Consulting,51-200 employees,"Barcelona, Barcelona",2000,"Business Intelligence, IT, BI, Consulting, Consultancy, Training, Oracle, Big Data, Tableau, Microsoft BI, Big Data, Advanced Analytics, Cloud, and Executive Business Intelligence"
Ciklum,http://www.ciklum.com,IT Services and IT Consulting,"1,001-5,000 employees","London, England",2002,
SII Group Spain,https://siigroup-spain.com/,IT Services and IT Consulting,"10,001+ employees","L’Hospitalet de Llobregat, Barcelona",,
knowmad mood,,IT Services and IT Consulting,"1,001-5,000 employees","Las Rozas, Madrid",,
UPCnet,http://www.upcnet.es,IT Services and IT Consulting,51-200 employees,,1997,"Digital Transformation, Applications Development, Smart Monitoring, Big Data & Analytics, Managed Operations, Internet of Things, Cloud-Native Applications , Cloud Transformation, Industry 4.0, Cybersecurity, IT Governance Consulting, Culture & Engagement, Talent Management, and Corporate University"
Capitole,http://www.capitole-consulting.com,IT Services and IT Consulting,"501-1,000 employees","Barcelona, Catalonia",2015,
UST España & Latam,https://www.ust.com/es,IT Services and IT Consulting,"10,001+ employees","Madrid, Madrid",1999,
HBX Group,https://www.hbxgroup.com/,"Technology, Information and Internet","1,001-5,000 employees","Palma de Mallorca, Balearic Islands",2023,
hiberus,https://www.hiberus.com,IT Services and IT Consulting,"1,001-5,000 employees","Zaragoza, Zaragoza",,
VortechGroup PCI,https://vortechgroup.com,IT Services and IT Consulting,51-200 employees,"Cornella de Llobregat, Barcelona",,"Consultoria, Outsourcing, Servicios Profesionales, Sistemas de Información, Innovación, Proyectos, Big Data, IT, Tecnologia, DevOps, Backend, SAP, FrontEnd, Cloud, Data Engineers, Project Managers, Consulting, and Technology"
Common Management Solutions,http://www.commonms.com,IT Services and IT Consulting,201-500 employees,"Madrid, Madird",2006,
Joppy,https://bit.ly/joppy_lkn,"Technology, Information and Internet",2-10 employees,"Barcelona, Barcelona",2018,"tech recruitment, recruitment, hr, engineering, developers, talento, talento tech, programadores, and empleo"
Plexus Tech,www.plexus.es,IT Services and IT Consulting,"1,001-5,000 employees","Santiago de Compostela, Galicia / Galiza",2000,
Joppy,https://bit.ly/joppy_lkn,"Technology, Information and Internet",2-10 employees,"Barcelona, Barcelona",2018,"tech recruitment, recruitment, hr, engineering, developers, talento, talento tech, programadores, and empleo"
Parser,https://www.parserdigital.com,IT Services and IT Consulting,201-500 employees,"London, London",2018,"Digital Transformation, Digital Strategy, Product & Service Design, Software Development, Software Engineering, IA & Data, and Delivery Management"
EvolMind,https://www.evolmind.com,E-Learning Providers,11-50 employees,"Zaragoza, Zaragoza",2006,"plataforma elearning, SaaS, desarrollo plataformas formacion, plataforma para formación online, LMS, #elearning, and elearning platform"
knowmad mood,,IT Services and IT Consulting,"1,001-5,000 employees","Las Rozas, Madrid",,
knowmad mood,,IT Services and IT Consulting,"1,001-5,000 employees","Las Rozas, Madrid",,
knowmad mood,,IT Services and IT Consulting,"1,001-5,000 employees","Las Rozas, Madrid",,
Immfly,http://immfly.com,Airlines and Aviation,51-200 employees,"Cornellà de Llobregat, Barcelona",2013,"Airlines, Entertainment, Communication, eCommerce, Advertising, Software, Telecommunications, and Connectivity"
Clintell Research,http://clintell.io,"Technology, Information and Internet",11-50 employees,,2021,"Data Science, Modelización Predictiva, Artificial Ingelligence, Machine Learning, Big Data, Analytics, Startups, and Innovation"
Joppy,https://bit.ly/joppy_lkn,"Technology, Information and Internet",2-10 employees,"Barcelona, Barcelona",2018,"tech recruitment, recruitment, hr, engineering, developers, talento, talento tech, programadores, and empleo"
Volkswagen Group Services Barcelona,http://www.volkswagen-groupservices.com,IT Services and IT Consulting,"501-1,000 employees","Martorell, Barcelona",,"Ingenieria, Automoción, IT, Innovación, and Marketing"
Aderen,http://www.aderen.es,IT Services and IT Consulting,51-200 employees,"LasRozas, Madrid",2007,"IT Strategy & Consulting, Project Managment, IT Services Provider, Marketing Automotion, Cloud Computing, Mobility, Recruiting, Headhunting, Cibersecurity, Big Data&Analytics&AI, SAP, CRM, BI, Contact Center, Cross technologies: Front, JEE, .net, PHP, Integration, and Devops"
knowmad mood,,IT Services and IT Consulting,"1,001-5,000 employees","Las Rozas, Madrid",,
Next Level Affiliate Marketing,http://www.nextlevel.sl,Advertising Services,11-50 employees,"Palma de Mallorca, Spanien",2012,"Internet, Mobile, Affiliate Marketing, E-Commerce, Consulting, and Performance Marketing"
EXCELIA,,IT Services and IT Consulting,201-500 employees,"Pozuelo de Alarcón, Madrid",1999,
Kapsch TrafficCom AG,https://www.kapsch.net,IT Services and IT Consulting,"1,001-5,000 employees",,2002,"Road User Charging, Urban Access and Parking, Road Safety Enforcement, Commercial Vehicle Operations, Electronic Vehicle Registration, Traffic Management, V2X Cooperative Systems, Tolling, and Sustainable Mobility"
Intelequia,https://intelequia.com/,Information Technology & Services,11-50 employees,"Madrid, Comunidad de Madrid",2010,"Ciberseguridad, Microsoft Dynamics, CRM, DNN, Microsoft Azure, Microsoft Dynamics 365, Ciberseguridad, Power Platform, Microsoft Teams, Consultoría Tecnológica, Desarrollo de Software, Microsoft 365, Amazon Web Services, Google Cloud, .Net, Power Apps, IA, Formación en Microsoft, Microsoft Partners, Amazon Web Services, Google Cloud, Red Team, SIEM, SOC, ISO, and low code"
T-Systems Iberia,https://www.t-systems.com/es/es/,IT Services and IT Consulting,"1,001-5,000 employees","Barcelona, Cataluña",,"telecomunicaciones, TIC, consultoría, SAP, cloud computing, dynamic services, and outsourcing"
