title,company,location,workplace,job_type,level,applicants,salary,posted,skills
Senior PHP Developer,Capitole,"Barcelona, Catalonia, Spain",Hybrid,Full-time,Mid-Senior level,39,,1 week ago,"['PHP', 'Symfony', 'Docker', 'Kubernetes']"
Angular Developer 100% remote,Astek,"Seville, Andalusia, Spain",Hybrid,Full-time,Associate,100,,2 weeks ago,"['Angular', 'SQL']"
Fullstack Laravel Developer,Berrly,"Barcelona, Catalonia, Spain",Hybrid,Full-time,,100,,Reposted 2 days ago,"['MySQL', 'Docker', 'Kubernetes', 'Laravel', 'PHP', 'CSS']"
Senior Python Engineer,Assaia – The ApronAI,Spain,Remote,Full-time,,100,,3 weeks ago,"['Python', 'Docker', 'FastAPI', 'Kubernetes', 'Java', 'C++', 'Rust']"
DevOps Engineer,Apipana.io,"Granada, Andalusia, Spain",Hybrid,Full-time,Mid-Senior level,100,,Reposted 2 months ago,"['Kubernetes', 'Python']"
Programador Angular/Ionic (Intermedio o Avanzado con Herramientas de IA),FACTOR ENERGIA,"Barcelona, Catalonia, Spain",Hybrid,Full-time,,40,,1 week ago,"['Angular', 'HTML', 'CSS', 'JavaScript']"
Cloud Engineer AWS,Keepler Data Tech,Spain,Remote,Full-time,Mid-Senior level,100,,5 days ago,"['AWS', 'Python', 'Azure']"
Programador full stack,Inmatic,"Barcelona, Catalonia, Spain",On-site,Full-time,,98,,1 week ago,"['Django', 'SQL', 'NoSQL', 'GCP']"
Programador/a NET,Centro Tecnológico del Notariado,"Sant Cugat del Vallès, Catalonia, Spain",Hybrid,Full-time,Associate,100,,Reposted 6 days ago,['C#']
Data Scientist,EXCELIA,"Madrid, Community of Madrid, Spain",Hybrid,Full-time,Associate,100,,2 weeks ago,"['Python', 'Pandas', 'NumPy', 'Jupyter', 'Kubernetes', 'Azure', 'Snowflake', 'SQL', 'AWS']"
Cloud Engineer,Capitole,"Barcelona, Catalonia, Spain",Hybrid,Full-time,Mid-Senior level,47,,4 weeks ago,"['AWS', 'Azure', 'Perl', 'Ruby', 'PowerShell']"
Ingeniero de software,Ingeso,"Lleida, Catalonia, Spain",On-site,Full-time,Associate,24 people clicked apply,,2 weeks ago,"['PHP', 'HTML', 'CSS', 'JavaScript', 'jQuery', 'Symfony', 'Docker', 'Laravel']"
Ingeniería de Datos / Data Engineer,ORBEA,"Mallavia, Basque Country, Spain",On-site,Full-time,Associate,100,,3 weeks ago,"['Python', 'Java', 'SQL', 'Airflow', 'BigQuery', 'Snowflake', 'NoSQL']"
Frontend Engineer,Restb.ai,"Barcelona, Catalonia, Spain",Hybrid,Full-time,,100 people clicked apply,,2 months ago,"['Angular', 'CSS', 'Docker']"
Programador/a ETL y Power BI,Ricoh España,"Tordera, Catalonia, Spain",On-site,Full-time,Mid-Senior level,60,,2 weeks ago,"['SQL', 'T-SQL', 'React']"
Data Engineer,IZERTIS,"Barcelona, Catalonia, Spain",On-site,Full-time,Mid-Senior level,100,,Reposted 1 week ago,"['Python', 'R', 'Azure']"
DESARROLLADOR C++ EN ENTORNO ANDROID - TELETRABAJO,Inetum,Spain,Remote,Full-time,Associate,100,,Reposted 2 weeks ago,['C++']
"Senior Backend Engineer (GCP, Typescript, Python)",Dubme.io,"Las Palmas de Gran Canaria, Canary Islands, Spain",Hybrid,Full-time,,100,,Reposted 4 months ago,"['TypeScript', 'Firestore', 'MongoDB']"
Senior Data Engineer,Newtral,"Madrid, Community of Madrid, Spain",Remote,Full-time,,100,,2 weeks ago,"['Python', 'SQL', 'NoSQL', 'Kafka', 'AWS', 'GCP', 'Azure', 'Airflow', 'Keras']"
Frontend Software Engineer,Fourvenues,"Valencian Community, Spain",Hybrid,Full-time,Mid-Senior level,100 people clicked apply,,1 week ago,"['TypeScript', 'Angular']"
Data Engineer,Intelequia,"Canary Islands, Spain",Hybrid,Full-time,Associate,70,,3 weeks ago,"['SQL', 'Azure', 'Python', 'R']"
Junior Developer - Salesforce(x|f|m) - Hybrid,Sartorius,"Madrid, Community of Madrid, Spain",Hybrid,Internship,,100 people clicked apply,,Reposted 1 week ago,"['Azure', 'Java', 'JavaScript', 'HTML']"
".NET Developer (m, f, d)",Quantion,"Barcelona, Catalonia, Spain",Hybrid,Full-time,Mid-Senior level,100,,3 weeks ago,['Azure']
DevOps Engineer,satec,"Madrid, Community of Madrid, Spain",Hybrid,Full-time,Mid-Senior level,29,,6 days ago,"['Jenkins', 'Python', 'Perl']"
Software Engineer .NET junior,Ohpen,"Barcelona, Catalonia, Spain",Hybrid,Full-time,Entry level,100 people clicked apply,,3 weeks ago,"['C#', 'AWS']"
Senior DevOps Engineer,enbi,"Bilbao, Basque Country, Spain",On-site,Full-time,,22,,3 weeks ago,"['React', 'Angular', 'Python', 'MySQL', 'MariaDB', 'PostgreSQL', 'GraphQL', 'Kubernetes', 'Bash', 'PowerShell', 'C#']"
